sample_id,collected_at,posting_date,collection_method,robots_terms_checked,source_log_id,search_keyword,platform,company,industry,job_title,normalized_role,experience_level,min_experience_years,education_level,employment_type,required_skills,skill_tags,domain_requirement,compensation,location,url,raw_file,manual_reviewed,notes,review_decision,review_reason,review_flags,dedupe_key,recommended_sample_id
,2026-05-12,2025-10-03,auto,yes,LOG-201,technical_role=engineer ai_evidence=cutting-edge ai;npu locations=Seoul,ashby,FuriosaAI,,Field Application Engineer,ai_deep_learning_engineer,,,,FullTime,,python;cloud,,,Seoul HQ,https://jobs.ashbyhq.com/furiosa-ai/920b3093-c8a8-4be9-b936-fe72cd9d1d6c,01_research/raw/public_ats/ATS-001_ashby_furiosa-ai_2026-05-12.json,no,target_id=ATS-001; provider=ashby; raw_id=920b3093-c8a8-4be9-b936-fe72cd9d1d6c; public_ats_api; requires_manual_review,hold,borderline_technical_ai_role:ai;npu;python,borderline_ai_role,furiosaai|field application engineer|seoul hq,
,2026-05-12,2025-10-03,auto,yes,LOG-201,technical_role=architect;solution architect ai_evidence=llm;npu;gpu locations=Seoul,ashby,FuriosaAI,,Solution Architect,ai_deep_learning_engineer,,,,FullTime,,python;cloud;docker_k8s;llm,,,Seoul HQ,https://jobs.ashbyhq.com/furiosa-ai/b474a0eb-4107-4a36-8d49-7c97d0114b82,01_research/raw/public_ats/ATS-001_ashby_furiosa-ai_2026-05-12.json,no,target_id=ATS-001; provider=ashby; raw_id=b474a0eb-4107-4a36-8d49-7c97d0114b82; public_ats_api; requires_manual_review,hold,borderline_technical_ai_role:ai;llm;npu;gpu;python,borderline_ai_role,furiosaai|solution architect|seoul hq,
,2026-05-12,2025-10-03,auto,yes,LOG-201,strong_title=quantization keywords=AI;ML;NPU;Inference;Software;Engineer;LLM locations=Seoul,ashby,FuriosaAI,,Software Engineer (Quantization Engineer),mlops_platform_engineer,,,,FullTime,,pytorch;llm;mlops,,,Seoul HQ,https://jobs.ashbyhq.com/furiosa-ai/03c6dc71-8283-48a9-87dc-008e4e398271,01_research/raw/public_ats/ATS-001_ashby_furiosa-ai_2026-05-12.json,no,target_id=ATS-001; provider=ashby; raw_id=03c6dc71-8283-48a9-87dc-008e4e398271; public_ats_api; requires_manual_review,include,strong_ai_title:quantization,strong_ai_title,furiosaai|software engineer (quantization engineer)|seoul hq,JOB-001
,2026-05-12,2025-10-03,auto,yes,LOG-201,strong_title=ai research keywords=AI;ML;NPU;Inference;Engineer;Research;LLM locations=Seoul,ashby,FuriosaAI,,AI Research Engineer,ai_researcher,,,,FullTime,,pytorch;llm;nlp,,,Seoul HQ,https://jobs.ashbyhq.com/furiosa-ai/bd85ec8f-3d23-438e-b8b3-1f9f6328f59f,01_research/raw/public_ats/ATS-001_ashby_furiosa-ai_2026-05-12.json,no,target_id=ATS-001; provider=ashby; raw_id=bd85ec8f-3d23-438e-b8b3-1f9f6328f59f; public_ats_api; requires_manual_review,include,strong_ai_title:ai research;research engineer,strong_ai_title,furiosaai|ai research engineer|seoul hq,JOB-002
,2026-05-12,2025-12-12,auto,yes,LOG-201,strong_title=npu keywords=AI;NPU;Data;Software;Engineer locations=Seoul,ashby,FuriosaAI,,NPU MI (Management Interface) Software Engineer,ai_deep_learning_engineer,,,,FullTime,,cv,,,Seoul HQ,https://jobs.ashbyhq.com/furiosa-ai/275607b0-4723-483a-861c-3ca705a8ecfc,01_research/raw/public_ats/ATS-001_ashby_furiosa-ai_2026-05-12.json,no,target_id=ATS-001; provider=ashby; raw_id=275607b0-4723-483a-861c-3ca705a8ecfc; public_ats_api; requires_manual_review,include,strong_ai_title:npu,strong_ai_title,furiosaai|npu mi (management interface) software engineer|seoul hq,JOB-003
,2026-05-12,2026-03-20,auto,yes,LOG-201,technical_role=engineer;developer;software ai_evidence=machine learning;llm;머신러닝 locations=Seoul,ashby,FuriosaAI,,"Software Engineer, Agent System Developer",ml_engineer,,,,FullTime,,python;llm,,,Seoul HQ,https://jobs.ashbyhq.com/furiosa-ai/962c5ed8-fe86-4873-983a-32c5b0323d5d,01_research/raw/public_ats/ATS-001_ashby_furiosa-ai_2026-05-12.json,no,target_id=ATS-001; provider=ashby; raw_id=962c5ed8-fe86-4873-983a-32c5b0323d5d; public_ats_api; requires_manual_review,include,technical_role_with_ai_evidence:ai;machine learning;llm;python;agent,technical_ai_role,"furiosaai|software engineer, agent system developer|seoul hq",JOB-004
,2026-05-12,2026-04-09,auto,yes,LOG-201,technical_role=engineer;software ai_evidence=deep learning;ai model;inference;llm;rag locations=Seoul,ashby,FuriosaAI,,AI Application Engineer,ai_deep_learning_engineer,,,,FullTime,,python;pytorch;llm;rag;cv,,,Seoul HQ,https://jobs.ashbyhq.com/furiosa-ai/50f510f1-c564-4417-8754-5afe68883126,01_research/raw/public_ats/ATS-001_ashby_furiosa-ai_2026-05-12.json,no,target_id=ATS-001; provider=ashby; raw_id=50f510f1-c564-4417-8754-5afe68883126; public_ats_api; requires_manual_review,hold,borderline_technical_ai_role:ai;llm;rag;model;inference,borderline_ai_role,furiosaai|ai application engineer|seoul hq,
,2026-05-12,2026-04-10,auto,yes,LOG-201,technical_role=engineer;software ai_evidence=deep learning;inference;npu locations=Seoul,ashby,FuriosaAI,,"Software Engineer, Runtime",ai_deep_learning_engineer,,,,FullTime,,,,,Seoul HQ,https://jobs.ashbyhq.com/furiosa-ai/07bca3c7-2865-42dc-8154-e4bf84f337e2,01_research/raw/public_ats/ATS-001_ashby_furiosa-ai_2026-05-12.json,no,target_id=ATS-001; provider=ashby; raw_id=07bca3c7-2865-42dc-8154-e4bf84f337e2; public_ats_api; requires_manual_review,include,technical_role_with_ai_evidence:ai;inference;npu,technical_ai_role,"furiosaai|software engineer, runtime|seoul hq",JOB-005
,2026-05-12,2026-04-23,auto,yes,LOG-201,technical_role=engineer;software ai_evidence=ml model;llm;rag locations=Seoul,ashby,FuriosaAI,,"Software Engineer, Compiler (AX Engineer)",applied_ai_developer,,,,FullTime,,llm;rag,,,Seoul HQ,https://jobs.ashbyhq.com/furiosa-ai/11eafd2e-d89b-4c61-bb64-b38cf0748536,01_research/raw/public_ats/ATS-001_ashby_furiosa-ai_2026-05-12.json,no,target_id=ATS-001; provider=ashby; raw_id=11eafd2e-d89b-4c61-bb64-b38cf0748536; public_ats_api; requires_manual_review,include,technical_role_with_ai_evidence:ai;ml;llm;rag;model,technical_ai_role,"furiosaai|software engineer, compiler (ax engineer)|seoul hq",JOB-006
,2026-05-12,2026-05-01,auto,yes,LOG-201,technical_role=engineer;software ai_evidence=deep learning;npu;gpu locations=Seoul,ashby,FuriosaAI,,Software Engineer - Compiler (Optimization),ai_deep_learning_engineer,,,,FullTime,,,,,Seoul HQ,https://jobs.ashbyhq.com/furiosa-ai/96a83bc1-cd58-45b4-b097-d44dcd48404d,01_research/raw/public_ats/ATS-001_ashby_furiosa-ai_2026-05-12.json,no,target_id=ATS-001; provider=ashby; raw_id=96a83bc1-cd58-45b4-b097-d44dcd48404d; public_ats_api; requires_manual_review,include,technical_role_with_ai_evidence:ai;npu;gpu,technical_ai_role,furiosaai|software engineer - compiler (optimization)|seoul hq,JOB-007
